model,metric,n_pairs,w_stat,p_wilcoxon
Chat-GPT,r_score,100,159.5,0.25683925795785656
Chat-GPT,a_score,100,0.0,0.10247043485974937
Chat-GPT,clr,100,585.0,0.0005284867029838395
Claude,r_score,100,0.0,0.15729920705028502
Claude,a_score,100,4.5,0.008141164394525089
Claude,clr,100,43.0,0.019583812898215716
DeepSeek-R1,r_score,100,60.0,9.635090009780217e-05
DeepSeek-R1,a_score,100,264.5,0.006957711321257653
DeepSeek-R1,clr,100,464.0,9.668682017376722e-09
Gemini,r_score,100,85.5,1.0
Gemini,a_score,100,0.0,0.31731050786291415
Gemini,clr,100,26.5,0.1788373798234254
Llama 3.1: 8B,r_score,100,803.0,0.0009674284502477448
Llama 3.1: 8B,a_score,100,249.5,0.0002952542512654975
Llama 3.1: 8B,clr,100,1433.0,0.0002734931926477963
Sailor2,r_score,100,9.5,0.00016244084518680075
Sailor2,a_score,100,1307.0,0.18131128022454335
Sailor2,clr,100,15.0,5.778090868955634e-17
