model,setting,bleu_count,bleu_mean,bleu_std,rouge1_f_count,rouge1_f_mean,rouge1_f_std,rouge2_f_count,rouge2_f_mean,rouge2_f_std,rougeL_f_count,rougeL_f_mean,rougeL_f_std
Chat-GPT,few_shot,100,0.010928353877206823,0.020335508194665435,100,0.083078001375989,0.11453770478514035,100,0.013509803921568626,0.052339860064012554,100,0.0819015307877537,0.10980292624589809
Chat-GPT,zero_shot,100,0.011618522491131473,0.045752923971372574,100,0.07531682146542827,0.13044945269483374,100,0.011259803921568627,0.0643196947226589,100,0.06875438596491228,0.1157408842430459
Claude,few_shot,100,0.014906967008714644,0.02369249209585864,100,0.10104691988438118,0.13067097422515012,100,0.01659640522875817,0.05867893942574325,100,0.09480346365021289,0.12081237073534047
Claude,zero_shot,100,0.014615793872576846,0.03156982698902056,100,0.08024828001375989,0.10540735977966556,100,0.011854575163398693,0.05757768189317844,100,0.07584038527691779,0.09938413168097589
DeepSeek-R1,few_shot,100,0.00284066638601512,0.00780213550299707,100,0.02451663919156179,0.06408336805798105,100,0.0,0.0,100,0.021358744454719688,0.05073630632898462
DeepSeek-R1,zero_shot,100,0.0027837831219204388,0.008232173088339621,100,0.014384441495896605,0.04067833541145628,100,0.00125,0.012499999999999999,100,0.014384441495896605,0.04067833541145628
Gemini,few_shot,100,0.013837460331635654,0.013461881786904354,100,0.10535156518747851,0.1070601537748479,100,0.007380718954248367,0.029432407452988592,100,0.09774234606123151,0.09532973880411226
Gemini,zero_shot,100,0.013740469847090053,0.02023301252720351,100,0.09965961472308221,0.12040856714715849,100,0.019493930905695612,0.0710766088608323,100,0.0932609219126247,0.11139519615109489
Llama 3.1: 8B,few_shot,100,0.004047081213426938,0.009467168631437602,100,0.03086107425426311,0.06460574203406144,100,0.0025098039215686275,0.01769229035288062,100,0.029749963143151995,0.06219177014858141
Llama 3.1: 8B,zero_shot,100,0.0031856393957055166,0.010076541390814105,100,0.01699053225756012,0.04779446390567724,100,0.0027884615384615387,0.01972438558352428,100,0.01699053225756012,0.04779446390567724
Sailor2,few_shot,100,0.007332134674694065,0.012538246781362259,100,0.05467671853430368,0.08852413134007418,100,0.0032499999999999994,0.023477638189338696,100,0.051565607423192564,0.07929290261532651
Sailor2,zero_shot,100,0.002538970145661035,0.006994925641640739,100,0.01709535313327883,0.042949673439448374,100,0.0013333333333333333,0.013333333333333336,100,0.01709535313327883,0.042949673439448374
