model,setting,n,r_mean,r_std,a_mean,a_std,clr_mean,clr_std,x_struct_proxy,rank_x_struct_proxy,rank_clr
Chat-GPT,few_shot,100,0.790000,0.409360,0.994530,0.032407,0.168179,0.165399,0.785679,3,3
Chat-GPT,zero_shot,100,0.730000,0.446196,1.000000,0.000000,0.240429,0.225377,0.730000,3,3
Claude,few_shot,100,0.970000,0.171447,0.980130,0.065446,0.011290,0.038953,0.950726,1,2
Claude,zero_shot,100,0.990000,0.100000,0.997047,0.020776,0.028254,0.064591,0.987076,1,2
DeepSeek-R1,few_shot,100,0.040000,0.196946,0.932372,0.113101,0.176778,0.171098,0.037295,5,4
DeepSeek-R1,zero_shot,100,0.250000,0.435194,0.886271,0.156433,0.468877,0.326374,0.221568,5,4
Gemini,few_shot,100,0.880000,0.326599,0.998523,0.014766,0.007579,0.034187,0.878701,2,1
Gemini,zero_shot,100,0.880000,0.326599,1.000000,0.000000,0.016119,0.044330,0.880000,2,1
Llama 3.1: 8B,few_shot,100,0.230000,0.422953,0.950262,0.108501,0.386067,0.391669,0.218560,4,6
Llama 3.1: 8B,zero_shot,100,0.510000,0.502418,0.866765,0.196270,0.642266,0.362619,0.442050,4,5
Sailor2,few_shot,100,0.010000,0.100000,0.818328,0.144712,0.187472,0.206954,0.008183,6,5
Sailor2,zero_shot,100,0.170000,0.377525,0.845378,0.149989,0.744718,0.231905,0.143714,6,6
