model,setting,n,xrasa_mean,xrasa_std,clr_mean,clr_std,xrasa_ci95,clr_ci95
Chat-GPT,few_shot,100,0.47851489999999997,0.23960625158964108,0.1681785,0.16539935821950533,0.04696282531156965,0.03241827421102304
Chat-GPT,zero_shot,100,0.43,0.21927336381970347,0.24042852,0.22537705929601354,0.042977579308661876,0.04417390362201865
Claude,few_shot,100,0.71708554,0.16161615218341932,0.011289690000000002,0.038953058178900254,0.03167676582795019,0.00763479940306445
Claude,zero_shot,100,0.7004697299999999,0.13710671200339142,0.028253970000000003,0.06459117969422776,0.026872915552664717,0.012659871220068642
DeepSeek-R1,few_shot,100,0.07238246,0.11932359291366765,0.17677773000000002,0.17109786629701437,0.02338742421107886,0.033535181794214816
DeepSeek-R1,zero_shot,100,0.12181849,0.2112975965929796,0.46887696,0.32637401356258117,0.041414328932224,0.06396930665826592
Gemini,few_shot,100,0.6833808600000001,0.21358745900937443,0.00757936,0.034186681850833386,0.04186314196583739,0.006700589642763344
Gemini,zero_shot,100,0.67375,0.23361387355889615,0.016119050000000003,0.04432977518584748,0.045788319217543644,0.008688635936426107
Llama 3.1: 8B,few_shot,100,0.16364127,0.2031912451306764,0.38606746000000003,0.39166851032222233,0.03982548404561258,0.07676702802315558
Llama 3.1: 8B,zero_shot,100,0.24955147,0.24744403279258048,0.64226582,0.36261906809455724,0.048499030427345775,0.07107333734653322
Sailor2,few_shot,100,0.01983707,0.06414929934370274,0.18747217,0.2069541027916188,0.012573262671365737,0.040563004147157286
Sailor2,zero_shot,100,0.06985187,0.15850932746646745,0.74471832,0.2319052420246744,0.03106782818342762,0.04545342743683618
